"name","category","price_range","vibe","address","seating","is_licensed","has_shisha","rating","google_place_id","latitude","longitude","created_at"
"21 Grams","Cafe","","Breakfast, Chill, Middle Eastern","Meyan Mall - Floor 2 - Al Thanya St - Umm Suqeim 2 - United Arab Emirates","Indoor","No","No","4.60","ChIJsQbDpkVqXz4RghkH6KosPwU","25.14468000","55.19871690","2024-11-04T18:22:26.242Z"
"Agora","Bar","","Fancy, Dim, Vibey","The Edition Hotel - Ground Floor - Dubai Fountain St - Downtown Dubai - Dubai - United Arab Emirates","Indoor","Yes","No","4.80","ChIJof70zqtpXz4RdXBQ3mretns","25.19186260","55.28087440","2024-11-04T18:21:02.568Z"
"Allo Beirut","Restaurant","","Comfort, Middle Eastern","Al Safa St - Al Wasl - Dubai - United Arab Emirates","Indoor","No","No","4.30","ChIJ8V5J9rxDXz4Rvs86mFM45fA","25.20795710","55.26360680","2024-11-04T18:21:20.229Z"
"Alma","Bar","","Quiet, Dim, Fancy","Podium Level, Gate Village 05 - Trade Centre - DIFC - Dubai - United Arab Emirates","Al Fresco","Yes","No","4.40","ChIJ-4lG2fhDXz4R51S_MLG7828","25.21425380","55.28270160","2024-11-04T18:22:33.040Z"
"Amelia","Restaurant","","Fancy, Vibey, Dim","Downtown Dubai - Dubai - United Arab Emirates","Indoor","Yes","No","4.50","ChIJw6qgTIFDXz4RoC78sPKt-wQ","25.20221020","55.27154800","2024-11-04T18:21:53.718Z"
"Angel cakes","Cafe","","Sunny, Cute","25°11'50.8""N 55°16'38.1""E - Dubai - United Arab Emirates","Both","No","No","4.80","ChIJZQBU3N1DXz4RSgXXIYc2kRI","25.19741590","55.27679260","2024-11-04T18:21:29.335Z"
"Bait Maryam","Cafe","","Breakfast, Cute, Middle Eastern","Cluster D - Jumeirah Lake Towers - Dubai - United Arab Emirates","Indoor","No","No","4.50","ChIJl5o1TKxsXz4Ro3vX1w-5YZM","25.07055850","55.14114410","2024-11-04T18:22:24.824Z"
"Brass Monkey","Bar","","Casual, Comfort, Chill, Activity","Bluewaters Island - Dubai - United Arab Emirates","Indoor","Yes","No","4.40","ChIJHYONX-cVXz4RfYACXb5DVs8","25.08110400","55.12265840","2024-11-04T18:20:55.068Z"
"Brix","Cafe","","Cute, Sunny, Breakfast","Jumeirah Fishing Harbour - Shop 1 - Al Urouba St - Jumeirah - Jumeirah 2 - Dubai - United Arab Emirates","Both","No","No","4.60","ChIJSdrs8a9DXz4R1r7Wu94z8fY","25.20992790","55.24418790","2024-11-04T18:21:26.623Z"
"Cafe Haroun","Cafe","","Comfort, Casual, Chill","Al Heeba St - Umm Suqeim - Umm Suqeim 1 - Dubai - United Arab Emirates","Both","No","Yes","4.10","ChIJ1xz4CtBrXz4RIB8gmllorPY","25.17302530","55.21875870","2024-11-04T18:21:10.188Z"
"Coco Bay","Bar","","Beachy, Chill, Comfort","West beach Palm - Jumeirah - Dubai - United Arab Emirates","Al Fresco","Yes","No","4.30","ChIJ-Vi4PIRrXz4RPaz-YtOFX5s","25.10688820","55.14314020","2024-11-04T18:20:56.593Z"
"Courtyard One & Only","Bar","","Fancy, Middle Eastern, Quiet","One&Only Royal Mirage - King Salman Bin Abdulaziz Al Saud St - Dubai Marina - Dubai - United Arab Emirates","Al Fresco","Yes","No","4.70","ChIJ_3FpvEZrXz4RI9WQCJ0P8Ko","25.09535780","55.15063540","2024-11-04T18:22:21.696Z"
"Daikan","Restaurant","","Chill, Asian, Vibey","Al Safa St - Al Wasl - Dubai - United Arab Emirates","Indoor","Yes","No","4.70","ChIJN2GEegBDXz4RLKZ0_KcbFh4","25.20696470","55.26156870","2024-11-04T18:22:07.532Z"
"Dampa Seafood","Restaurant","","Casual, Comfort","Baniyas Rd - Port Saeed - Dubai - United Arab Emirates","Indoor","No","No","4.70","ChIJvYwf99hcXz4Rp4ci-Nb3bxg","25.25431360","55.32840540","2024-11-04T18:22:15.516Z"
"East West","Cafe","","Fancy, Coffee","First Floor - The Courtyard - 6A St - Al Quoz - Dubai - United Arab Emirates","Indoor","No","No","4.40","ChIJp1KH9XxrXz4RNTPdJV7KxBI","25.14320340","55.22381110","2024-11-04T18:21:16.922Z"
"Electric Pawn Shop","Bar","","Chill, Dim, Fancy","1 Sheikh Zayed Rd - Trade Centre - Trade Centre 1 - Dubai - United Arab Emirates","Indoor","Yes","No","4.30","ChIJQZGQGTxDXz4RXuwCfQjce5c","25.23032180","55.28712980","2024-11-04T18:20:46.025Z"
"Eugene Eugene","Restaurant","","Fancy, Chill","Kempinski Hotel - Sheikh Zayed Rd - Al Barsha - Al Barsha 1 - Dubai - United Arab Emirates","Both","Yes","No","4.60","ChIJkfqj0JxrXz4ReI4_vOYcgNQ","25.11893860","55.19739020","2024-11-04T18:21:46.652Z"
"Eva by Three","Restaurant","","Casual, Chill, Middle Eastern","Villa 53 - Al Wasl Street - 23B St - Jumeirah 2 - Dubai - United Arab Emirates","Both","No","No","4.50","ChIJk7XsZ5tDXz4RYyFJAzGnNjs","25.19901480","55.24781040","2024-11-04T18:21:50.534Z"
"Fi'lia","Restaurant","","Chill, Middle Eastern, Views","Marasi Dr - Business Bay - Dubai - United Arab Emirates","Both","No","No","4.30","ChIJi0WQdLZpXz4RSUNAkUE5_Is","25.18534620","55.29235190","2024-11-04T18:21:34.252Z"
"Fusion Ceviche","Restaurant","","Casual, Fresh, Chill","𝐉𝐋𝐓 𝐂𝐋𝐔𝐒𝐓𝐄𝐑 𝐐 𝐒𝐀𝐁𝐀 𝟑 𝐒𝐇𝐎𝐏 #𝟒 - Dubai - United Arab Emirates","Both","No","No","4.70","ChIJDWgln8ptXz4R71wUYCRL5O4","25.07616190","55.14548810","2024-11-04T18:22:12.242Z"
"Gohan","Restaurant","","Fancy, Asian, DJ","Emirates Towers Hotel Entrance - Jumeirah Emirates Towers Hotel - 1st Floor Sheikh Zayed Rd - Dubai - United Arab Emirates","Indoor","Yes","No","4.70","ChIJ2VHmmKtDXz4Rbrq2aGbN0mA","25.21776410","55.28199270","2024-11-04T18:21:42.545Z"
"Hadilao Hot Pot","Restaurant","","Casual, Comfort, Asian, Activity","57WJ+H6 - Downtown Dubai - Dubai Mall - Dubai - United Arab Emirates","Indoor","No","No","4.80","ChIJDf4VsRxpXz4RJj7NsW0wN4Y","25.19640690","55.28062120","2024-11-04T18:22:41.312Z"
"Harbour Cafe","Cafe","","Sunny, Chill, Comfort","Address - Ras Al Khor - Dubai Creek Harbour - Dubai - United Arab Emirates","Al Fresco","No","No","4.80","ChIJ1ZWajo0TXz4R0BVX2lWViSo","25.20875140","55.34353510","2024-11-04T18:22:28.386Z"
"Hashmis","Restaurant","","Casual, Comfort","Al Barsha - Al Barsha 1 - Dubai - United Arab Emirates","Indoor","No","No","4.60","ChIJe6hmOrVDXz4RHadPnhQex9w","25.11106300","55.19519040","2024-11-04T18:22:13.589Z"
"Hawkerboi","Restaurant","","Asian, Dim, Vibey","The Park - Jumeirah Lake Towers - Dubai - United Arab Emirates","Both","Yes","No","4.70","ChIJuVjmoudtXz4R3jCjcKt4dos","25.07511410","55.14677010","2024-11-04T18:22:38.078Z"
"Home Bakery","Cafe","","Fancy, Comfort, Chill","The Dubai Mall Fashion Avenue - 1st Floor - Downtown Dubai - Dubai - United Arab Emirates","Indoor","No","No","4.20","ChIJs5IFBoJCXz4Ry0iMlVYG5vI","25.19754640","55.27642520","2024-11-04T18:21:14.007Z"
"Honeycomb","Restaurant","","Fancy, Asian, DJ, Vibey","Pullman Dubai Downtown - Level 2 - Business Bay - Dubai - United Arab Emirates","Both","Yes","No","4.20","ChIJD93Kdl9pXz4RftyQo9H3QRQ","25.18692730","55.27168540","2024-11-04T18:21:39.366Z"
"Jamavar","Restaurant","","Fancy, Chill, Dim, Indian","Address Residences Opera District - Downtown Dubai - Dubai - United Arab Emirates","Indoor","Yes","No","4.60","ChIJ96_Q7nZpXz4RnbdR5xFBOOc","25.19699150","55.27148070","2024-11-04T18:22:39.330Z"
"Josette","Cafe","","Fancy, Pretty, Vibey, Coffee","ICD Brookfield Place - Trade Centre - DIFC - Dubai - United Arab Emirates","Indoor","No","No","4.60","ChIJq1PGaO5DXz4RNM9F8G9coYg","25.21182490","55.28064790","2024-11-04T18:22:34.351Z"
"Juns","Restaurant","","Fancy, Asian, Chill","Sheikh Mohammed bin Rashid Blvd - Downtown Dubai - Dubai - United Arab Emirates","Indoor","Yes","No","4.60","ChIJMZuZr75DXz4RDF3KsT3WPek","25.19080470","55.27268240","2024-11-04T18:21:35.584Z"
"Kaak","Cafe","","Casual, Chai","Al Wasl Rd - opposite Emarat Al Safa Petrol Station - Al Wasl Area - Jumeirah 2 - Dubai - United Arab Emirates","Both","No","No","4.80","ChIJ8w2OCD1DXz4RgGjbZXgaQZY","25.20383450","55.25111280","2024-11-04T18:21:58.213Z"
"Kana","Cafe","","Comfort, Chill, Casual","Marasi Dr - Business Bay - Dubai - United Arab Emirates","Both","No","Yes","4.20","ChIJST1J3RVpXz4RmKnpOsYCoa0","25.19016360","55.28466880","2024-11-04T18:21:12.382Z"
"Kinoya","Restaurant","","Asian, Comfort, Chill","The Onyx Tower 2 - Floor P2 - Dubai - United Arab Emirates","Both","Yes","No","4.50","ChIJo_aEw_JtXz4RIrHIsLk_ab0","25.09681210","55.16934350","2024-11-04T18:21:22.064Z"
"La Cantine da farboug","Bar","","Fancy, DJ, Vibey","Emirates Towers Hotel، Emirates Towers Hotel Entrance - 1st floor - Trade Centre - Trade Centre 2 - Dubai - United Arab Emirates","Indoor","Yes","No","4.50","ChIJFxbqjJJCXz4Raab_P0depmo","25.21779800","55.28202760","2024-11-04T18:21:40.670Z"
"LDC cafe","Cafe","","Cute, Comfort, Breakfast","Dubai International Financial Centre, Bldg 4, Level - 2 Sheikh Zayed Rd - Dubai - United Arab Emirates","Both","No","No","4.40","ChIJ86iyMK5DXz4RRAfwqpxm1xg","25.21397270","55.27996810","2024-11-04T18:21:27.902Z"
"Loona","Restaurant","","Fancy, Italian, Chill","Vida Downtown Residences - Burj Khalifa Blvd - Downtown Dubai - Dubai - United Arab Emirates","Indoor","Yes","No","4.50","ChIJxbTjFXBpXz4R8sfHqDkF1Tc","25.19058010","55.27304980","2024-11-04T18:21:37.407Z"
"LPM","Restaurant","","Fancy, Vibey","Gate Village No, 8 - DIFC - Dubai - United Arab Emirates","Indoor","Yes","No","4.50","ChIJC1IO84VCXz4RdlE5yzrVRes","25.21329210","55.28251420","2024-11-04T18:22:29.754Z"
"Lucky Fish","Restaurant","","Fancy, Chill, Beachy","Palm Jumeirah - The Palm Jumeirah - Dubai - United Arab Emirates","Al Fresco","Yes","Yes","4.00","ChIJgVUVHnVrXz4RbC6woDQLRic","25.10838000","55.14134410","2024-11-04T18:21:05.692Z"
"Luna","Bar","","Fancy, Chill","GV09 Level GF, Gate Village, Building 3 - Building 9, Unit - towards DIFC Parking - Trade Centre - DIFC - Dubai - United Arab Emirates","Al Fresco","Yes","No","3.90","ChIJBUbT941CXz4Rufgqm4YX9H4","25.21334450","55.28240670","2024-11-04T18:20:59.843Z"
"Mamaesh","Cafe","","Casual, Middle Eastern, Chill, Chai","BAYSWATER TOWER, WATERFRONT, NEXT TO DUBAI ISLAMIC BANK - Marasi Dr - Dubai - United Arab Emirates","Both","No","No","4.60","ChIJgUFTnc1pXz4RBelk-C9SXBQ","25.18404700","55.26463500","2024-11-04T18:21:15.506Z"
"Mamafri","Restaurant","","Asian, Comfort","542 Jumeirah St - Jumeirah - Jumeirah 3 - Dubai - United Arab Emirates","Indoor","No","No","4.60","ChIJ1cS1g7hrXz4Re7yxZjD-mD0","25.17797080","55.22207570","2024-11-04T18:21:31.174Z"
"Miss Lilys","Bar","","Chill, Vibey, Dim","Sheraton Grand Hotel - Level 5 - Sheikh Zayed Rd - Dubai - United Arab Emirates","Indoor","Yes","No","4.00","ChIJiwTxfxFoXz4Rbt3NaGJLnzQ","25.22938720","55.28641890","2024-11-04T18:20:48.067Z"
"Moes on the 5th","Bar","","Fancy, Vibey, Dim","4 Sheikh Zayed Rd - Trade Centre - Trade Centre 1 - Dubai - United Arab Emirates","Indoor","Yes","No","4.60","ChIJw1aDtehCXz4R3c8NY3X9-Mo","25.22943870","55.28642650","2024-11-04T18:20:57.902Z"
"Mott 32","Restaurant","","Fancy, Dim, Asian","Al Mamsha St - Dubai Marina - Dubai - United Arab Emirates","Both","Yes","No","4.60","ChIJpyuW7TYTXz4RFqppRYEzQbc","25.07256180","55.12643970","2024-11-04T18:22:23.000Z"
"Nineve","Restaurant","","Fancy, Indian, Chill","Emirates Towers Hotel - Sheikh Zayed Rd - Dubai - United Arab Emirates","Both","Yes","No","4.20","ChIJpSfk85JCXz4Rh0caooFV8u0","25.21692940","55.28254070","2024-11-04T18:21:56.878Z"
"Nolas JLT","Restaurant","","Chill, Vibey, Dim","JLT Cluster P - Jumeirah Lake Towers - Dubai - United Arab Emirates","Indoor","Yes","No","4.50","ChIJdRkvO6lsXz4Rv2ImDipLUQs","25.07452600","55.14553210","2024-11-04T18:22:08.860Z"
"Pitfire Pizza","Restaurant","","Vibey, Chill","Dubai Hills Estate, Business Park-1 - Dubai - United Arab Emirates","Indoor","Yes","No","4.80","ChIJXdA7Y5FpXz4Rl0MVSjKjx9U","25.10797970","55.24068860","2024-11-04T18:22:00.960Z"
"Plain","Cafe","","Cute, Comfort, Chill","J3 Compound - Villa 3 - Umm Al Sheif Rd - Umm Suqeim - Umm Suqeim 1 - Dubai - United Arab Emirates","Indoor","No","No","4.80","ChIJQb98c2hrXz4RYwndS8s1rOc","25.17351890","55.22106350","2024-11-04T18:21:32.907Z"
"Raju's Omlet","Cafe","","Casual, Chai","Real Estate International Building, Exit 43,Sheikh Zayed Road - Near Noor Islamic Bank Metro Footbridge - Station - Dubai - United Arab Emirates","Both","No","No","4.20","ChIJfVs7gIdpXz4RbKweLdGjLPU","25.15001160","55.22603080","2024-11-04T18:22:02.888Z"
"Salmon Guru","Bar","","Casual, Vibey, Chill","The Opus by Omniyat - 803 Al A'amal St - Business Bay - Dubai - United Arab Emirates","Indoor","Yes","No","4.40","ChIJVWV_efFpXz4R2MCXGTtu74A","25.18888030","55.26651820","2024-11-04T18:21:01.142Z"
"Smokeys","Bar","","Beachy, Chill, Comfort","6CC5+VP3 - Mirdif - Dubai - United Arab Emirates","Al Fresco","No","Yes","4.80","ChIJozn0619hXz4R_tSMKdJUXrU","25.22212650","55.40930650","2024-11-04T18:21:04.407Z"
"Sushi Samba","Restaurant","","Views, Fancy","Level 51 - St. Regis - The Palm Jumeirah - Dubai - United Arab Emirates","Indoor","Yes","No","4.50","ChIJbzdk9bprXz4REuQZdMCKJqM","25.11401610","55.14020690","2024-11-04T18:21:51.865Z"
"Tan Cha","Restaurant","","Fancy, Asian, Chill","JW Marriott Marquis Hotel - Business Bay - Dubai - United Arab Emirates","Both","Yes","No","4.80","ChIJ3YuHEJ9pXz4R49sNjJemTGc","25.18539490","55.25807520","2024-11-04T18:21:54.994Z"
"Tashas","Cafe","","Chill, Comfort, Cute","The Galleria Al Wasl Retail Centre Al Wasl Street - Dubai - United Arab Emirates","Both","No","No","4.40","ChIJacx1U2lCXz4RkT82edvKCkc","25.20685640","55.25397960","2024-11-04T18:22:04.272Z"
"The 44","Bar","","Casual, Chill, Activity","HABTOOR CITY - Dubai - United Arab Emirates","Both","Yes","No","4.20","ChIJqSDCpNtpXz4R3dG2rV_Dc50","25.18431210","55.25520050","2024-11-04T18:20:53.668Z"
"Thea","Cafe","","Pretty, Fancy, Sunny","R05 and RM05 - Building-06, Unit No’s - Thea - Dubai Design District - Dubai - United Arab Emirates","Both","No","No","4.60","ChIJFwUCdq5pXz4RDvdPgMF0xzM","25.18866130","55.29720780","2024-11-04T18:22:17.464Z"
"The crossing","Restaurant","","Chill, Indian, Fancy","H Dubai - 1 Sheikh Zayed Rd - Trade Centre - Trade Centre 1 - Dubai - United Arab Emirates","Indoor","Yes","No","4.80","ChIJqX5WhnhDXz4R66l0Vdsiiio","25.23031970","55.28713790","2024-11-04T18:21:45.208Z"
"The Guild","Restaurant","","Fancy, Pretty, Vibey","Icd Brookfield Place - Trade Centre - DIFC - Dubai - United Arab Emirates","Indoor","Yes","No","4.70","ChIJ5QdVuKhDXz4RVQDVHF7ZnU0","25.21183940","55.28032580","2024-11-04T18:22:36.199Z"
"The Maine","Restaurant","","Fancy, Chill, Dim","The Opus by Omniyat - Ground Floor - Al A'amal St - Dubai - United Arab Emirates","Indoor","Yes","No","4.80","ChIJpabd1tppXz4RjwONpXIjsp8","25.18849180","55.26701100","2024-11-04T18:21:48.580Z"
"Tom and serg","Cafe","","Comfort, Chill, Breakfast","Al Joud Centre - 15A Street - Sheikh Zayed Rd - near ACE Hardware and Burjeel Hospital - Dubai - United Arab Emirates","Indoor","No","No","4.40","ChIJj3fdMipqXz4RFMG6snLxSaY","25.14599240","55.22314810","2024-11-04T18:21:23.387Z"
"Tree House","Bar","","Comfort, Chill","Burj Khalifa St - Business Bay - Dubai - United Arab Emirates","Al Fresco","Yes","Yes","4.30","ChIJaQeMqdVpXz4Rc8XQJD-u4Sc","25.19243490","55.26727880","2024-11-04T18:21:08.910Z"
"Tresind","Restaurant","","Fancy, Indian","One&Only Royal Mirage, Arabian Court - Dubai Marina - Dubai - United Arab Emirates","Indoor","Yes","No","4.50","ChIJjxcVwO1CXz4RNpnBEHsrTBw","25.09897590","55.15429430","2024-11-04T18:21:43.912Z"
"Urla","Restaurant","","Fancy, Vibey, Chill","Address Downtown Hotel, Lobby Level - Sheikh Mohammed bin Rashid Blvd - Downtown Dubai - Dubai - United Arab Emirates","Al Fresco","Yes","Yes","4.40","ChIJ5UL06HJpXz4Rv1ucO74FSXw","25.19488080","55.27802350","2024-11-04T18:21:07.512Z"
"Villa 515","Cafe","","Cute, Pretty, Chill","Villa 515 - Jumeira 3, Jumeirah Street، Jumeirah Beach Road - Dubai - United Arab Emirates","Both","No","No","4.30","ChIJ_S1uMxZCXz4RlabwzkFY9zg","25.17696470","55.22205980","2024-11-04T18:21:24.829Z"
"Woodfire","Restaurant","","Fancy, Meat","Villa 11 75B St - Jumeirah - Jumeirah 1 - Dubai - United Arab Emirates","Indoor","Yes","No","4.30","ChIJ0XAHzFhDXz4RWB0pNY1dpuU","25.21545680","55.25157950","2024-11-04T18:22:06.111Z"
"ZaZa Pizza","Restaurant","","Chill, Comfort, Drive In","South Heights Tower A Shop 04 - Dubai - United Arab Emirates","Indoor","No","No","4.40","ChIJvR2SzdtDXz4R9yhDfCWuIRM","25.21266290","55.27289480","2024-11-04T18:22:20.230Z"
"Zuma","Restaurant","","Vibey, DJ, Fancy","Podium Level, Gate Village, Building 3 - 06 Al Mustaqbal St - Trade Centre - DIFC - Dubai - United Arab Emirates","Indoor","Yes","No","4.40","ChIJZTweiZFCXz4RdaYGx-3ktrA","25.21393500","55.28332720","2024-11-04T18:22:31.706Z"